,text,intention
0,"""Voy a dejarte, lo dije cariño, tú sabes que voy a dejarte, te dejaré en primavera."" (Led Zeppelin - Babe, I'm gonna leave you) #FrasesRock",referencial
1,El otro día se me cayó el Scrabble al suelo y me salió una canción de Shakira.,poetica
2,"Lo mejor para Chavez es dejarse de vainas salir ya de Cuba e irse a John Hopkins, al Texas Medical Center o la Clinica Mayo",apelativa
3,México será la 12° economía en 2025: Santander http://bit.ly/iZw6jI,referencial
4,México será la 12° economía en 2025: Santander - El Universal - Finanzas http://bit.ly/lm4STv,referencial
5,"Andrei Shleifer, de Harvard, en #campusfaes: ""España tiene el coste laboral unitario que ha crecido más rápido de la OCDE"".",referencial
6,"Profunda y emotiva carta del gran profesor de Princeton, Philip Pettit, en Elmer. Participa en la discusión del blog. http://t.co/o6G5DuM",referencial
7,Desde un tiempo los TVC de Santander están muy muy buenos. Veo el de #ca2011 e hipotecario.,referencial
8,Harvard es privada y obtiene millones de dólares en subsidios.,referencial
9,"'Alfredo Sáenz, CEO de #Santander, declara mañana como imputado por el 'caso #Banif'' http://t.co/pKndG9Y vía @expansioncom",referencial
10,@DirtyBron cuenta de sociedad de padre de familia Santander serfin :65501401815 .---$300 cuenta del cobach BBVA BANCOMER :0443082636 --$350,referencial
11,"Ahora cuando te mueres y pasa delante de tus ojos la película de tu vida en los créditos sale el del Santander, Bbva y La Caixa.",poetica
12,Me encanta el comercial del Santander para la Copa América &lt;3,emotiva
13,Buena propaganda la del Santander #copa. America,emotiva
14,"Amplia la brecha entre ricos y pobres en AL: Santander: SANTANDER, España., julio 5 (EL UNIVERSAL).- Latinoaméri... http://bit.ly/j4A2Zf",referencial
15,"#45 conocimos a Elle Woods, como olvidar el video que envió a Harvard OBJECTION! http://lockerz.com/s/117392894",referencial
16,FCC firma un contrato de liquidez con Santander por 2 millones: FCC ha firmado un contrato de liquidez con Santa... http://bit.ly/qfb1Kn,referencial
17,Banco Santander lanza en Reino Unido la primera edición de los Premios a la Iniciativa Empresarial de Santander... http://fb.me/19CmwYi9U,referencial
18,@100280120 Es lo que hizo Goldman tenía seguros contra sus propias hipotecas basura jugó a tirarlas para cobrar de AIG esos seguros,referencial
19,"OPV Loterías: La OPV de Loterías ya tiene a los grandes bancos de Wall Street JP Morgan, Goldman Sachs, UBS y Cr... http://bit.ly/qAoHiP",referencial
20,@Eliana_Ctes ticketpotal antes trabajaba con el santander,referencial
21,La colección de Max Uhle: Un tema que de refilón se relaciona con el caso de las piezas de Machu Picchu y Yale http://t.co/MOGlGaE,referencial
22,"EDUARDO ENGEL, ECONOMISTA Y PROFESOR DE LA UNIVERSIDAD DE YALE:
“Lavín tiene un conflicto de interés enorme” http://t.co/elucwqN",referencial
23,EE.UU.: Goldman Sachs rebaja las recomendaciones de Yum! Brands y Starbucks: Para la primera aconseja ahora vend... http://bit.ly/pojTR2,referencial
24,"@pazgonzalezm @cnnchile HARVARD !! deber lo mismo en una U de 4ta y que quizas no este ni acreditada, es distinto.",referencial
25,"No olviden este fin de semana el 2011 FORMULA 1 SANTANDER BRITISH GRAND PRIX, #vamosCheco",apelativa
26,"En anteriores tweets dije que la bolsa iba a caer, sobre todo los bancos, que el Santander había roto el soporte del 7.83 y esta en 7.5",referencial
27,Don Ricardo Alegría muere a los 90 años Universidad Chicago 1947 Harvard en 1954 #porculpadelosgringos #LuchaUPR… http://goo.gl/fb/vWUvs,referencial
28,"Informe Telefonica, Santander, BBVA, Popular y Gas Natural- 11 Jul: 
por el experto en Análisis Técnico. F. DE L... http://bit.ly/q54EVm",referencial
29,@Daanitaok yo tb estuve en santander,emotiva
30,@Lavivirocks lo vere me gusta @fernandopaulsen es uno de lo pocos que has estado en Harvard preguntunle como fue estar en esa universidad,apelativa
31,"@Ceciliadestino: porsiaca yo no quise estudiar en @Harvard, extrañaba a mi familia",emotiva
32,"Curso de Felicidad de Harvard - La Universidad de Harvard diseñó un curso sobre Felicidad, miles de personas... http://tumblr.com/x7h3g4valw",referencial
33,@grabyrg Hola  hoy es día Santander hay mensualidades sin interés en toda la tienda Saludos,apelativa
34,"El nuevo presidente de BCE, Mario Draghi, entre el 2002 y el 2006 VP de Goldman Sachs. Directivos para gestionar economia pública. Cojonudo.",referencial
35,Harvard es como pararse al Frente de Eafit en Medellin los que se han parado ahi saben a que me  Refiero @freakycolectivo Turistiando,poetica
36,"Las patatas fritas, las que más engordan.  Un estudio de la universidad de Harvard demuestra que el tubércul… (cont) http://deck.ly/~Uuhvs",referencial
37,Las patatas fritas son el alimento que más engorda según un estudio de Harvard. Le siguen las bebidas azucaradas y las carnes rojas.,referencial
38,"Existen estudios de la universidad de oxford, salamanca y mar del plata que recomiendan el consumo diario de café para los granos",referencial
39,Pintura en residencia estudiantil de Oxford reusulta ser un Miguel Angel invaluable usando tecnología infra-roja H http://t.co/ZUN5cPQ,referencial
40,"Las patatas fritas son el alimento que más engorda, según un estudio de la Universidad de Harvard http://t.co/gHalkSX",referencial
41,Banco #Santander un escalón mas abajo - #Bolsa desde los #Pirineos por Ramon #Ceresuela: http://t.co/xowhA1i,referencial
42,"En el caso de Redbanc, los dueños son: Banco Chile 38,1%; Banco Santander 33,4%, BCI 12,7% y Corpbanca 2,5%.",referencial
43,"@pmartinezarroyo Entonces la tierra que te iban a dar era de primera calidad, criada por jardineros titulados en Yale.",poetica
44,RT @ProfesorTweet: Comer yogurt y frutos secos ayuda a adelgazar a largo plazo. [Fuente: Escuela de Salud Pública de Harvard] ?,referencial
45,#BancoOficialdelaCopa Yo ya no me RIO SANTANDER!!,emotiva
46,"INVESTIGACIÓN EN LA UNIVERSIDAD DE COLUMBIA
Buscadores en Internet afectan uso de memoria",referencial
47,"Loco, por qué los comerciales del Banco Santander tienen que ser tan tristes :'|",emotiva
48,1er. Seminario Latinoamericano: Tel. (662) 2 59 21 88. Para pagos en banco: Banco SANTANDER No. De cuenta: 65501... http://bit.ly/ooPqN1,referencial
49,"Ahí están los tíos ""Los directivos de Banco Santander se llevan una extra de verano de 120 milones  http://t.co/GUyY1fx",referencial
50,Reportan negativos resultados Goldman Sachs y Bank of America http://sns.mx/waery9,referencial
51,Haciendo fila :S (@ Santander Mdo. 28) http://4sq.com/qVpbQe,emotiva
52,#estasmasincomodoque Belén Esteban en la sección existencialismo de la Universidad de Oxford,poetica
53,@julioandrade_ru @carlosmconde Palentólogos de Harvard investigan a Bendodo y Conejo en un proyecto del eslabón perdido http://t.co/oyidUWh,referencial
54,"@Aikoneko nup, no es cruzado, pero por si acaso dijo que lo queria ver, de todas formas si no me llama me planto en el santander y aú",referencial
55,BBVA y #Santander disparan al Ibex y #Bankia se estrella en su estreno en Bolsa  http://ow.ly/5ISyS,referencial
56,@ConiFontova Odio el banco santander... es pésimo!// opino igual que tu #bancosantander apesta!!,emotiva
57,"@sepasace Santander le informa que por problemas blablabla, sra N... rut 15... se le ruega cambiar su clave.. y yo no tengo cuenta ahi!",emotiva
58,RT @earcos: Estudio de Berkeley muestra que el 3D tiene efectos nocivos en la vista http://bit.ly/pLN4Kq,referencial
59,Profesor de Harvard propone más aprendizaje y menos memoria | El Heraldo | @scoopit http://bit.ly/qVlELB,referencial
60,"Banco Santander ganó 3.501 millones de euros en el primer semestre, un 21% menos http://t.co/s1LXlew vía @elmundoes  ¡Pobrecillos!",referencial
61,#BancoSantander Alfredo Sáenz: “Vamos a ofrecer contratos en prácticas en Pymes a 5.000 universitarios y el sueldo lo pagará Santander”,referencial
62,El Santander aplaza el pago de hipotecas a clientes que hayan perdido ingresos http://t.co/CdZG3tv,referencial
63,El Santander ofrece una moratoria de tres años en la hipoteca a quienes pierdan el empleo http://t.co/K19a9l8 vía @el_pais,referencial
64,El Banco Santander ofrece a los parados una carencia de tres años en la hipoteca http://t.co/hPEJgVz,referencial
65,El Santander facilitará el pago de la hipoteca a los parados con una moratoria de tres años http://dlvr.it/cpHMv,referencial
66,Científicos de Stanford crean una batería de litio transparente. @alt1040. http://bit.ly/mPpjqQ,referencial
67,Científicos de Stanford inventan baterías transparentes para gadgets http://t.co/Ni2qJig,referencial
68,@Anabelduenas Nuevo León 163 …junto al santander esq campeche,referencial
69,Resultados del primer semestre del Santander del 2011 http://bit.ly/nkN1Yk,referencial
70,El Santander facilita el pago de hipotecas ante las demandas sociales del #15M http://bit.ly/qRDlPR,referencial
71,La campaña de lavado de imagen del Santander http://cot.ag/pUCMPo no les va servir para evitar la denuncia http://cot.ag/qoGQzp #motinabotin,referencial
72,El Banco de Santander se muestra interesado en la adquisición de la #CAM http://bit.ly/oF2ElE,referencial
73,"MRT @marti_saballs: 38% beneficio BBVA procede de México. 40% del Santander, de Brasil. Que cada uno saque sus conclusiones sobre riesgos.",referencial
74,El Santander aplazará el cobro de hipotecas a parados. ¿Esto demuestra la necesidad del #15M? Encuesta de @hora14SER http://t.co/YfgSrck,apelativa
75,Científicos de Stanford crean baterías transparentes porque 'quieren un iPhone transparente' http://bit.ly/q3apOz,referencial
76,@Rrodriguezrojas @loredominguezi Sigues trabajando en el santander o na que ver?,fatica
77,La cúpula del Santander se sube el sueldo un 25% en el primer semestre http://bit.ly/qHZYHW,referencial
78,El Banco Santander da un respiro a familias hipotecadas con problemas (Bankimia): Share With Friends:  |  | ... http://feedzil.la/qes7p2,referencial
79,Expansión &gt; Las firmas de inversión discrepan sobre Santander: 40% de rally o caída del 10% http://tinyurl.com/3utqthv,referencial
80,"La crisis es para algunos. El consejo del Santander se sube un 9,5% el sueldo http://t.co/L688r13",referencial
81,"RT @blogandlife: El negocio del hambre, increíble pero cierto, todo nace en Goldman Sachs... que triste. http://bit.ly/qqeroI #fb",referencial
82,Científicos de Stanford crean una batería transparente: En los últimos años hemos sido testigos de la aparición ... http://bit.ly/nKXOpo,referencial
83,"Por cierto, siguen las devastadoras consecuencias de la crisis. La cúpula del Santander se sube el sueldo el 25%: http://t.co/jhniEgw",referencial
84,I'm at Santander Serfin (Heroica Puebla de Zaragoza) http://4sq.com/qZo05Q,referencial
85,I'm at Santander Serfin (Heroica Puebla de Zaragoza) http://4sq.com/qZo05Q,referencial
86,@moisescorabi mejor pasate a santander!,apelativa
87,Carolina Píparo demandó al Banco Santander por $11 millones de pesos por la violenta salidera #LaPlata http://t.co/XCPh7Vt,referencial
88,"Banco Santander Pq no paga cuando corresponde, si a miles de persona retrasa 1 Dia el pago , cuanto gana?",apelativa
89,La electrónica con nanocables desarrollada en Stanford podrá usarse en cualquier material http://dlvr.it/dPQSJ,referencial
90,"@CilbiaDel Hola Cilbia, debes acudir a tu sucursal Santander para proporcionarte mayor información. Saludos.",apelativa
91,Asunto: Re: Cuidado con el banco Santander - por: neon26 http://goo.gl/fb/Qb8ML,apelativa
92,"@Jonas_Justin_JB pero onda, santander o cual? :S",apelativa
93,Goldman Sachs pagará por la cirugía de cambio de sexo de cualquiera de sus empleados para literalmente atraer nuevos clientes ricos.,referencial
94,#BecasSantander te invita a la convocatoria abierta de Becas Santander de Movilidad Nacional http://t.co/3Gh7HUs,apelativa
95,"Krugman, premio Nobel de Economía y prof de Princeton, ofrece remedio keynesiano para salir de la crisis: aumentar inversión pública.",referencial
96,Porcentaje sobre el free float de acciones prestadas a 1 de agosto de 2011: Bankinter 28%; Banco Popular 25%; Santander 20%,referencial
97,Porcentaje sobre el free float de acciones prestadas a 1 de agosto de 2011: Bankinter 28%; Banco Popular 25%; Santander 20%,referencial
98,"""A Dios rogando y tu casa embargando"". Banco Santander, patrocinador oficial de la JMJ 2011.",poetica
99,"#con50millones montaba un AppleStore en la oficina del Santander que hay frente la Fnac de Sevilla, en la Av. de la Constitución #Sevillahoy",referencial
100,"RT @marthadebayle: Un estudio de Princeton: las personas altas son más inteligentes, ya que desde la infancia han tenido un rol “superior”",referencial
101,Goldman Sach eleva proyecciones para precio del oro hasta el 2012 http://t.co/7kiv8D6,referencial
102,"""La gente de aquí es patética. Y cuando se es patético se necesita que alguien lo sea más."" - Lucy/Nyu (Elfen Lied)",referencial
103,"#Santander cae un 8,33% y #BBVA un 7,83%. En el caso de la banca italiana las pérdidas superan el 13% : http://t.co/X1Sb0eR",referencial
104,"Del 10 de Octubre al 16 de Diciembre de 2011
Impartido por la Universidad de Stanford
- Sebastian Thrun Profesor... http://fb.me/T3HhN9DU",referencial
105,La banca europea se desploma y Santander y BBVA pierden los 6 euros http://ow.ly/1ebn3G,referencial
106,"@ibaldr de los mejores banamex, bancomer, santander y banorte te blindan hasta 72 horas antes y después del suceso,algunos con aclaraciones",referencial
107,Presentados 170 cortos al festival de cine 'Corto y creo' de la Fundación Santander Creativa http://t.co/stZA9Ub,referencial
108,RT @DosisGeek: Universidad de Stanford abre un curso de Inteligencia Artificial online gratuito y revoluciona la red http://t.co/H4BfhjW,referencial
109,El curso de Stanford sobre Inteligencia Artificial que revoluciona la red http://t.co/1Si750S vía @alt1040,referencial
110,@AfricamSafari otra ¿la entrara a mundo T-Rex es aparte de la entrada al safari? y ¿la promocion de santander aplica para Africam total Rex?,apelativa
111,"La Universidad Stanford lanza curso online gratuito de Inteligencia Artificial, más de 87 mil inscritos http://t.co/0TG0cO9",referencial
112,Lo que se oculta detrás de Goldman Sachs y la Reserva Federal http://t.co/IhPrKfB /via @wordpressdotcom,referencial
113,Google Inc Funando  4.09.1998.resultado de la tesis doctoral de Larry Page y Sergey Brin(Stanford) para mejorar las búsquedas en Internet.,referencial
114,Introducción a la Inteligencia Artificial: El curso en streaming gratuito de la Universidad de Stanford que no q... http://t.co/C6N7zBT,referencial
115,RT @janiel: El curso de Stanford sobre Inteligencia Artificial que revoluciona la red http://t.co/VKPPikc #rmspmx,referencial
116,"@fabiola2mil11 @lalo_espinoza Santander, Banamex, Bancomer, HBC, todos, son usureros, hasta que los mexicanos digamos BASTA",emotiva
117,Desactivada una bomba en un Banco Santander en Irlanda del Norte http://t.co/GS4y8Si,referencial
118,@CurroTroya bueno si el sueldo del trabajo temporal son 2000€/día como en RBS no nos quejaremos,emotiva
119,"2008 el Instituto Nacional de Antropología e Historia de México publicó estudios de las Universidades  Arizona, Yale, Wisconsin y Kennesaw",referencial
120,"Oh!, asústame! RT @saconsalvi El nuevo ministro de Defensa de Colombia es graduado en las unidersidades de Harvard y Johns Hopkins",referencial
121,"La Universidad de Yale ha repartido entre sus estudiantes de medicina, 520 iPads 2 de 64 GB con conexión 3G.... http://t.co/9K6pF1F",referencial
122,"No sólo hay cursos de la Universidad de Yale, también hay de Stanford y del MIT, para casi todas las ingenierías #YouTube",referencial
123,#economia #bolsas RBS eleva el potencial de Telefónica y rebaja al resto de telecos europeas http://t.co/F5CtbiEe,referencial
124,"Hace unos días que estoy pensando en ""ir a Yale"" osea, esto me esta haciendo mal!",emotiva
125,"En 1965 Frederick Smith, estudiante de la Universidad de Yale escribio un trabajo de reprtir paquetes dentro de EU en 2 dias.",referencial
126,Justin Bieber es el pokemon no evolucionado de Ricky Martin.,poetica
127,"""Nunca supe que tenia un sueño hasta que ese sueño fuiste tú"". — Bon Jovi (Thank you for loving me).",poetica
128,Error de Shakira con el Himno Nacional causó revuelo en las redes sociales http://t.co/hD6HxZE3,referencial
129,Dice @Shakira que qué rica está la manzana que cuelga de la ramita. http://t.co/ehXqeu7i,poetica
130,* FERRARI * http://t.co/6FimxOzn #iFlog,referencial
131,"Empezó como ""Loba"", después se puso ""Loca"" y terminó ""Rabiosa"". Alguien por favor lleve a Shakira con un veterinario.",poetica
132,Para celebrar las diez millones de reproducciones de #AddictedToYou queremos compartir este vídeo del Cómo Se Hizo  http://t.co/WA1dAUts SHQ,referencial
133,Ecoticia: Audi presentó su bicicleta electrónica. http://t.co/0XbVhRFH,referencial
134,"Los trapos sucios de Bankia y otros más, de Javier Gómez de Liaño ... http://t.co/sLy6DRy3",referencial
135,"#Info: Lady Gaga también está en la campaña de Obama, junto con Christian y Ricky Martin.",referencial
136,"La declaración de hacienda incluirá este año una nueva casilla: iglesia, obras sociales y bankia",referencial
137,"- I love u.
- I love U2 !
- Ayyy, en serio ?
- Sisi, me encanta Vertigo y tambien One.
- Malo :(",poetica
138,"La prima de riesgo está en 502. Bankia pierde el 26% en la cotización. El pozo no tiene fondo, la estafa no cesa. #HagamosComoIslandia",referencial
